Plate #,Row,Column,Record no.,ORF,Gene
3,H,12,4272,YDR436W,PPZ2
3,H,13,4054,YDR120C,TRM1
3,H,14,241,YEL001C,IRC22
3,H,15,4055,YDR121W,DPB4
3,H,16,243,YEL003W,GIM4
3,H,17,4056,YDR122W,KIN1
3,H,18,244,YEL004W,YEA4
3,H,19,4057,YDR123C,INO2
3,H,20,245,YEL005C,VAB2
3,H,21,4058,YDR124W,YDR124W
3,H,22,246,YEL006W,YEA6
3,H,23,4059,YDR125C,ECM18
3,H,24,247,YEL007W,MIT1
3,I,1,2087,YPL165C,SET6
3,I,2,3362,YBR222C,PCS60
3,I,3,2088,YPL164C,MLH3
3,I,4,3363,YBR223C,TDP1
3,I,5,2089,YPL163C,SVS1
3,I,6,3364,YBR224W,YBR224W
3,I,7,2090,YPL162C,YPL162C
3,I,8,3365,YBR225W,YBR225W
3,I,9,2091,YPL161C,BEM4
3,I,10,3366,YBR226C,YBR226C
3,I,11,2093,YPL159C,PET20
3,I,12,3367,YBR227C,MCX1
3,I,13,2095,YPL157W,TGS1
3,I,14,3368,YBR228W,SLX1
3,I,15,2096,YPL156C,PRM4
3,I,16,3369,YBR229C,ROT2
3,I,17,2097,YPL155C,KIP2
3,I,18,3370,YBR230C,OM14
3,I,19,2098,YPL154C,PEP4
3,I,20,3371,YBR231C,SWC5
3,I,21,2100,YPL152W,RRD2
3,I,22,3373,YBR233W,PBP2
3,I,23,2102,YPL150W,YPL150W
3,I,24,3375,YBR235W,VHC1
3,J,1,4060,YDR126W,SWF1
3,J,2,248,YEL008W,YEL008W
3,J,3,4061,YDR127W,ARO1
3,J,4,249,YEL009C,GCN4
3,J,5,4062,YDR128W,MTC5
3,J,6,250,YEL010W,YEL010W
3,J,7,4063,YDR129C,SAC6
3,J,8,253,YEL013W,VAC8
3,J,9,4064,YDR130C,FIN1
3,J,10,254,YEL014C,YEL014C
3,J,11,4065,YDR131C,YDR131C
3,J,12,255,YEL015W,EDC3
3,J,13,4066,YDR132C,YDR132C
3,J,14,256,YEL016C,NPP2
3,J,15,4067,YDR133C,YDR133C
3,J,16,257,YEL017C-A,PMP2
3,J,17,4068,YDR134C,YDR134C
3,J,18,258,YEL017W,GTT3
3,J,19,4069,YDR135C,YCF1
3,J,20,7401,YPR083W,MDM36
3,J,21,4070,YDR136C,VPS61
3,J,22,261,YEL020C,YEL020C
3,J,23,4071,YDR137W,RGP1
3,J,24,264,YEL023C,YEL023C
3,K,1,2103,YPL149W,ATG5
3,K,2,3378,YBR238C,YBR238C
3,K,3,2105,YPL147W,PXA1
3,K,4,3379,YBR239C,ERT1
3,K,5,2107,YPL145C,KES1
3,K,6,3380,YBR240C,THI2
3,K,7,2108,YPL144W,POC4
3,K,8,3381,YBR241C,YBR241C
3,K,9,2111,YPL141C,FRK1
3,K,10,3382,YBR242W,YBR242W
3,K,11,2112,YPL140C,MKK2
3,K,12,3384,YBR244W,GPX2
3,K,13,2113,YPL139C,UME1
3,K,14,3385,YBR245C,ISW1
3,K,15,2114,YPL138C,SPP1
3,K,16,3386,YBR246W,RRT2
3,K,17,2115,YPL136W,YPL136W
3,K,18,3388,YBR248C,HIS7
3,K,19,2117,YPL135W,ISU1
3,K,20,3389,YBR249C,ARO4
3,K,21,2119,YPL133C,RDS2
3,K,22,3390,YBR250W,SPO23
3,K,23,2122,YPL130W,SPO19
3,K,24,3391,YBR251W,MRPS5
3,L,1,7400,YPR021C,AGC1
3,L,2,265,YEL024W,RIP1
3,L,3,4073,YDR139C,RUB1
3,L,4,266,YEL025C,YEL025C
3,L,5,4074,YDR140W,MTQ2
3,L,6,268,YEL027W,VMA3
3,L,7,4076,YDR142C,PEX7
3,L,8,269,YEL028W,YEL028W
3,L,9,4077,YDR143C,SAN1
3,L,10,271,YEL030W,ECM10
3,L,11,4078,YDR144C,MKC7
3,L,12,272,YEL031W,SPF1
3,L,13,4080,YDR146C,SWI5
3,L,14,274,YEL033W,MTC7
3,L,15,4177,YDR338C,YDR338C
3,L,16,7403,YPR091C,NVJ2
3,L,17,4179,YDR340W,YDR340W
3,L,18,278,YEL037C,RAD23
3,L,19,4181,YDR344C,YDR344C
3,L,20,279,YEL038W,UTR4
3,L,21,4182,YDR345C,HXT3
3,L,22,280,YEL039C,CYC7
3,L,23,4183,YDR346C,SVF1
3,L,24,281,YEL040W,UTR2
3,M,1,2123,YPL129W,TAF14
3,M,2,3395,YBR255W,MTC4
3,M,3,2125,YPL127C,HHO1
3,M,4,3398,YBR258C,SHG1
3,M,5,2127,YPL125W,KAP120
3,M,6,3399,YBR259W,YBR259W
3,M,7,2129,YPL123C,RNY1
3,M,8,3400,YBR260C,RGD1
3,M,9,2131,YPL121C,MEI5
3,M,10,3401,YBR261C,TAE1
3,M,11,2132,YPL120W,VPS30
